Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-11-03 16:20:10,dmged,375,2.42693004e-05,80.75,28.75
2021-11-03 16:21:00,dmged,375,2.42284568e-05,80.0,29.25
2021-11-03 16:21:50,dmged,375,2.41987491e-05,79.25,29.25
2021-11-03 16:22:40,dmged,375,2.44029798e-05,80.5,29.25
2021-11-03 16:23:30,dmged,375,2.44289749e-05,83.5,29.25
2021-11-03 16:24:20,dmged,375,2.46332038e-05,82.75,28.75
2021-11-03 16:25:10,dmged,375,2.43992672e-05,81.5,28.75
2021-11-03 16:26:00,dmged,375,2.46889049e-05,81.0,28.5
2021-11-03 16:26:50,dmged,375,2.45700776e-05,80.0,29.25
2021-11-03 16:27:40,dmged,375,2.4480958e-05,79.25,29.25
2021-11-03 16:28:30,dmged,375,2.46369164e-05,80.0,29.0
2021-11-03 16:29:20,dmged,375,2.46257769e-05,83.75,28.75
2021-11-03 16:30:10,dmged,375,2.46703366e-05,82.75,28.75
2021-11-03 16:31:00,dmged,375,2.47446042e-05,81.75,28.75
2021-11-03 16:31:50,dmged,375,2.47668831e-05,80.75,28.75
2021-11-03 16:32:40,dmged,375,2.47891639e-05,80.0,29.25
2021-11-03 16:33:30,dmged,375,2.47594562e-05,79.25,28.5
2021-11-03 16:34:20,dmged,375,2.4874571e-05,81.25,29.0
2021-11-03 16:35:10,dmged,375,2.4926554e-05,84.0,29.0
2021-11-03 16:36:00,dmged,375,2.49376935e-05,82.75,29.0
2021-11-03 16:36:50,dmged,375,2.51159327e-05,81.75,29.0
2021-11-03 16:37:40,dmged,375,2.48337237e-05,81.0,29.25
2021-11-03 16:38:30,dmged,375,2.49859695e-05,80.0,28.5
2021-11-03 16:39:20,dmged,375,2.51456404e-05,79.25,28.5
2021-11-03 16:40:10,dmged,375,2.49785408e-05,79.75,29.0
2021-11-03 16:41:00,dmged,375,2.50305293e-05,83.5,29.25
2021-11-03 16:41:51,dmged,375,2.51604924e-05,82.75,28.75
2021-11-03 16:42:41,dmged,375,2.49562618e-05,82.0,28.75
2021-11-03 16:43:31,dmged,375,2.50899411e-05,81.0,29.25
2021-11-03 16:44:21,dmged,375,2.50973681e-05,80.0,29.0
2021-11-03 16:45:11,dmged,375,2.50825124e-05,79.5,29.25
2021-11-03 16:46:01,dmged,375,2.50973681e-05,79.75,29.25
2021-11-03 16:46:51,dmged,375,2.51196489e-05,83.75,29.25
2021-11-03 16:47:41,dmged,375,2.51345009e-05,82.75,29.5
2021-11-03 16:48:31,dmged,375,2.51790607e-05,81.75,28.75
2021-11-03 16:49:21,dmged,375,2.50268131e-05,81.0,28.75
2021-11-03 16:50:11,dmged,375,2.51902002e-05,80.5,29.0
2021-11-03 16:51:01,dmged,375,2.50862286e-05,79.5,29.25
2021-11-03 16:51:51,dmged,375,2.50825124e-05,79.75,29.0
2021-11-03 16:52:41,dmged,375,2.51196489e-05,83.0,29.25
2021-11-03 16:53:31,dmged,375,2.51642068e-05,83.0,29.0
2021-11-03 16:54:21,dmged,375,2.50973681e-05,82.0,29.0
2021-11-03 16:55:11,dmged,375,2.5271891e-05,81.0,29.0
2021-11-03 16:56:01,dmged,375,2.51902002e-05,80.25,28.75
2021-11-03 16:56:51,dmged,375,2.51864876e-05,79.5,28.75
2021-11-03 16:57:41,dmged,375,2.52421869e-05,79.5,29.25
2021-11-03 16:58:31,dmged,375,2.52533264e-05,83.5,28.75
2021-11-03 16:59:21,dmged,375,2.51827714e-05,83.25,29.25
2021-11-03 17:00:11,dmged,375,2.52236186e-05,82.25,29.25
2021-11-03 17:01:01,dmged,375,2.54649822e-05,81.25,29.25
2021-11-03 17:01:52,dmged,375,2.5249612e-05,80.5,29.25
2021-11-03 17:02:42,dmged,375,2.51753481e-05,79.75,28.75
2021-11-03 17:03:32,dmged,375,2.52793197e-05,79.5,29.0
2021-11-03 17:04:22,dmged,375,2.52458995e-05,83.25,29.0
2021-11-03 17:05:12,dmged,375,2.50379526e-05,83.25,29.0
2021-11-03 17:06:02,dmged,375,2.50787998e-05,82.5,29.25
2021-11-03 17:06:52,dmged,375,2.49525492e-05,81.25,29.0
2021-11-03 17:07:42,dmged,375,2.48931337e-05,80.5,28.75
2021-11-03 17:08:32,dmged,375,2.47594562e-05,79.75,28.75
2021-11-03 17:09:22,dmged,375,2.47446042e-05,79.0,28.75
2021-11-03 17:10:12,dmged,375,2.45255178e-05,83.5,29.25
2021-11-03 17:11:02,dmged,375,2.46257769e-05,83.25,28.75
2021-11-03 17:11:52,dmged,375,2.44920975e-05,82.5,28.5
2021-11-03 17:12:42,dmged,375,2.42915794e-05,81.5,29.25
2021-11-03 17:13:32,dmged,375,2.42544484e-05,80.75,29.5
2021-11-03 17:14:22,dmged,375,2.42952956e-05,80.0,29.75
2021-11-03 17:15:12,dmged,375,2.42915794e-05,79.25,29.0
2021-11-03 17:16:02,dmged,375,2.41653288e-05,82.0,29.0
2021-11-03 17:16:52,dmged,375,2.43064351e-05,83.5,29.5
2021-11-03 17:17:42,dmged,375,2.42173155e-05,82.5,29.0
2021-11-03 17:18:32,dmged,375,2.43249997e-05,81.5,29.25
2021-11-03 17:19:22,dmged,375,2.43769864e-05,80.75,28.75
2021-11-03 17:20:12,dmged,375,2.4466106e-05,80.0,29.0
2021-11-03 17:21:02,dmged,375,2.43769864e-05,79.25,29.25
2021-11-03 17:21:52,dmged,375,2.44735347e-05,81.5,29.25
2021-11-03 17:22:42,dmged,375,2.45960728e-05,83.25,29.25
2021-11-03 17:23:32,dmged,375,2.46480577e-05,82.75,29.25
2021-11-03 17:24:22,dmged,375,2.45032388e-05,81.75,29.25
2021-11-03 17:25:12,dmged,375,2.46480577e-05,80.75,29.25
2021-11-03 17:26:02,dmged,375,2.46629115e-05,80.0,29.5
2021-11-03 17:26:52,dmged,375,2.47334647e-05,79.25,29.5
2021-11-03 17:27:42,dmged,375,2.47297521e-05,80.75,29.25
2021-11-03 17:28:32,dmged,375,2.48003034e-05,83.75,29.5
2021-11-03 17:29:22,dmged,375,2.48337237e-05,83.0,29.5
2021-11-03 17:30:13,dmged,375,2.46926156e-05,82.0,29.75
2021-11-03 17:31:03,dmged,375,2.4874571e-05,81.0,29.5
2021-11-03 17:31:53,dmged,375,2.48151555e-05,80.25,29.75
2021-11-03 17:32:43,dmged,375,2.50342418e-05,79.5,29.25
2021-11-03 17:33:33,dmged,375,2.50008216e-05,80.0,29.75
2021-11-03 17:34:23,dmged,375,2.50082485e-05,83.75,29.0
2021-11-03 17:35:13,dmged,375,2.49933928e-05,83.0,28.75
2021-11-03 17:36:03,dmged,375,2.50305293e-05,82.25,29.25
2021-11-03 17:36:53,dmged,375,2.48931337e-05,81.25,29.25
2021-11-03 17:37:43,dmged,375,2.50713729e-05,80.25,29.75
2021-11-03 17:38:33,dmged,375,2.50787998e-05,79.5,29.5
2021-11-03 17:39:23,dmged,375,2.4926554e-05,80.25,29.25
2021-11-03 17:40:13,dmged,375,2.52050522e-05,83.0,29.25
2021-11-03 17:41:03,dmged,375,2.50750891e-05,83.0,29.5
2021-11-03 17:41:53,dmged,375,2.48968499e-05,82.25,29.5
2021-11-03 17:42:43,dmged,375,2.51902002e-05,81.25,30.0
2021-11-03 17:43:33,dmged,375,2.52570389e-05,80.5,29.5
2021-11-03 17:44:23,dmged,375,2.50825124e-05,79.5,29.75
